pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(g,z)",14,3,4,2,0,2,1,2,0
"(h,a)",802,2,18,47,45,56,71,83,480
"(h,b)",30,4,4,3,10,1,2,5,1
"(h,c)",899,2,3,4,19,28,62,100,681
"(h,d)",927,8,17,36,127,126,169,143,301
"(h,e)",1856,6,49,61,131,154,243,330,882
"(h,f)",56,2,9,2,5,5,2,17,14
"(h,g)",522,3,6,2,30,120,80,70,211
"(h,h)",297,3,10,24,27,42,50,55,86
"(h,i)",133,4,12,19,23,23,16,12,24
"(h,j)",4,1,2,0,0,1,0,0,0
"(h,k)",157,2,20,5,4,35,49,24,18
"(h,l)",688,4,18,18,50,50,78,66,404
"(h,m)",499,5,9,12,20,30,51,68,304
"(h,n)",972,5,16,27,90,108,131,124,471
"(h,o)",99,3,12,22,21,13,13,8,7
"(h,p)",111,6,13,1,9,16,24,11,31
"(h,q)",0,0,0,0,0,0,0,0,0
"(h,r)",722,3,13,27,129,92,78,89,291
"(h,s)",2919,5,39,138,146,336,382,471,1402
"(h,t)",660,7,29,31,51,92,128,114,208
"(h,u)",27,1,5,8,5,5,3,0,0
"(h,v)",2,1,1,0,0,0,0,0,0
"(h,w)",35,3,1,0,6,8,10,1,6
"(h,x)",41,2,1,3,5,5,5,2,18
"(h,y)",1252,6,10,77,60,88,124,163,724
"(h,z)",13,0,3,4,4,1,0,0,1
"(i,a)",294,8,19,26,34,45,28,40,94
"(i,b)",7,0,1,2,2,1,0,1,0
"(i,c)",411,1,1,10,19,20,31,60,269
"(i,d)",931,3,11,13,46,94,154,129,481
"(i,e)",2535,8,14,36,127,173,233,365,1579
"(i,f)",22,3,1,1,5,3,0,2,7
"(i,g)",682,1,0,7,15,18,52,123,466
"(i,h)",113,3,4,4,16,19,21,14,32
"(i,i)",55,3,5,13,9,8,1,2,14
"(i,j)",1,0,0,0,1,0,0,0,0
"(i,k)",48,3,1,1,16,5,5,10,7
"(i,l)",811,3,10,17,26,45,53,62,595
"(i,m)",310,3,4,13,21,25,38,27,179
"(i,n)",952,5,12,28,42,51,70,92,652
"(i,o)",86,8,9,12,11,12,11,7,16
"(i,p)",58,2,1,1,12,8,3,6,25
"(i,q)",1,0,1,0,0,0,0,0,0
"(i,r)",617,1,6,19,26,60,110,83,312
"(i,s)",2474,9,21,36,93,200,255,344,1516
"(i,t)",829,2,8,32,74,82,103,119,409
"(i,u)",18,2,3,2,4,3,0,3,1
"(i,v)",7,1,1,4,0,1,0,0,0
"(i,w)",18,0,0,7,3,2,2,4,0
"(i,x)",37,0,2,4,6,1,4,5,15
"(i,y)",1860,2,14,13,17,41,78,148,1547
"(i,z)",2,1,1,0,0,0,0,0,0
"(j,a)",142,0,13,23,30,28,19,13,16
"(j,b)",18,3,3,6,3,1,0,2,0
"(j,c)",33,0,1,1,1,6,7,8,9
"(j,d)",219,4,1,15,46,48,40,31,34
"(j,e)",374,2,23,20,72,50,68,59,80
"(j,f)",11,1,2,0,0,2,1,5,0
"(j,g)",162,5,5,1,13,43,32,22,41
"(j,h)",67,1,3,3,19,14,8,10,9
"(j,i)",41,1,7,7,9,10,1,3,3
"(j,j)",0,0,0,0,0,0,0,0,0
"(j,k)",38,1,11,0,2,10,6,4,4
"(j,l)",100,1,10,14,16,15,10,7,27
"(j,m)",75,3,3,4,7,13,13,16,16
"(j,n)",209,5,13,11,36,41,28,34,41
"(j,o)",44,0,7,13,7,8,6,2,1
"(j,p)",32,1,8,5,5,1,3,2,7
"(j,q)",0,0,0,0,0,0,0,0,0
"(j,r)",189,3,4,12,59,42,21,24,24
"(j,s)",626,3,23,70,69,138,92,103,128
"(j,t)",149,6,7,11,27,28,27,20,23
"(j,u)",23,1,5,2,4,6,3,0,2
"(j,v)",2,1,0,0,0,0,1,0,0
"(j,w)",12,3,1,0,1,3,0,3,1
"(j,x)",10,0,3,2,0,2,3,0,0
"(j,y)",250,2,12,38,28,41,37,29,63
"(j,z)",5,0,3,2,0,0,0,0,0
"(k,a)",353,5,22,59,90,55,44,22,56
"(k,b)",22,3,5,5,6,3,0,0,0
"(k,c)",115,1,0,4,5,15,9,19,62
"(k,d)",193,3,8,6,38,38,45,17,38
"(k,e)",473,5,18,32,64,72,94,75,113
